State,pvi,governorParty,senateParty,houseBalance
Alabama,14,Republican,Both,"6R, 1D"
Alaska,9,Republican,Republican,1R
Arizona,5,Republican,Both,"5D, 4R"
Arkansas,15,Republican,Republican,4R
California,-12,Democratic,Democratic,"46D, 7R"
Colorado,-1,Democratic,Both,"4D, 3R"
Connecticut,-6,Democratic,Democratic,5D
Delaware,-6,Democratic,Democratic,1D
Florida,2,Republican,Republican,"14R, 13D"
Georgia,5,Republican,Republican,"9R, 5D"
Hawaii,-18,Democratic,Democratic,2D
Idaho,19,Republican,Republican,2R
Illinois,-7,Democratic,Democratic,"13D, 5R"
Indiana,9,Republican,Republican,"7R, 2D"
Iowa,3,Republican,Republican,"3D, 1R"
Kansas,13,Democratic,Republican,"3R, 1D"
Kentucky,15,Republican,Republican,"5R, 1D"
Louisiana,11,Democratic,Republican,"5R, 1D"
Maine,-3,Democratic,Both,2D
Maryland,-12,Republican,Democratic,"7D, 1R"
Massachusetts,-12,Republican,Democratic,9D
Michigan,-1,Democratic,Democratic,"7D, 6R, 1I"
Minnesota,-1,Democratic,Democratic,"5D, 3R"
Mississippi,9,Republican,Republican,"3R, 1D"
Missouri,9,Republican,Republican,"6R, 2D"
Montana,11,Democratic,Both,1R
Nebraska,14,Republican,Republican,3R
Nevada,-1,Democratic,Democratic,"3D, 1R"
New Hampshire,0,Republican,Democratic,2D
New Jersey,-7,Democratic,Democratic,"11D, 1R"
New Mexico,-3,Democratic,Democratic,3D
New York,-12,Democratic,Democratic,"21D, 6R"
North Carolina,3,Democratic,Republican,"8R, 3D, 2 Vacant"
North Dakota,17,Republican,Republican,1R
Ohio,3,Republican,Both,"12R, 4D"
Oklahoma,20,Republican,Republican,"4R, 1D"
Oregon,-5,Democratic,Democratic,"4D, 1R"
Pennsylvania,0,Democratic,Both,"9D, 9R"
Rhode Island,-10,Democratic,Democratic,2D
South Carolina,8,Republican,Republican,"5R, 2D"
South Dakota,14,Republican,Republican,1R
Tennessee,14,Republican,Republican,"7R, 2D"
Texas,8,Republican,Republican,"23R, 13D"
Utah,20,Republican,Republican,"3R, 1D"
Vermont,-15,Republican,Democratic,1D
Virginia,-1,Democratic,Democratic,"7D, 4R"
Washington,-7,Democratic,Democratic,"7D, 3R"
West Virginia,19,Republican,Both,3R
Wisconsin,0,Democratic,Both,"5R, 3D"
Wyoming,25,Republican,Republican,1R
District of Columbia,-3,Democratic,Democratic,
